Submission ID,Submission time,Business / Service Category Selection,Name of Business / User,Phone,City / Nearby Village,Address,Business Details,Place ID,Ratings,Reviews,Verified,Webpage
,,Coaching classes,Phoenix Education Bhuj,063544 50309,Bhuj,"Office no 45, ground floor, The Midtown mall, college road, Shivkrupa Nagar, Bhuj, Gujarat 370001, India",,ChIJsfhAdcrhUDkRpi8R6CnHIp8,,,,
,,Coaching classes,Shiksha Academy,9825758287,Bhuj,,,,,,,
,,Coaching classes,KRUPA PURVESH GANATRA,9099060169,Bhuj,"Sanskar Nagar, Maruti Plot",Mind Bloom Personal Coaching Class Nursery to STD 5,,,,,
,,Coaching classes,KRUPA PURVESH GANATRA,9099060169,Bhuj,"Sanskar Nagar, Maruti Plot",Mind Bloom Personal Coaching Class Nursery to STD 5,,,,,
96d47063-c022-41ec-b51a-319d7c73b01d,2026-05-21 03:06:17,Coaching classes,Royal cricket academy ,9099918008,Bhuj,Royal cricket academy જયુબિલી ગ્રાઉન્ડ ભુજ ,Cricket academy ,,,,,
a61be565-4f3a-4e3b-b1c0-9f80282accef,2026-05-24 03:51:56,Coaching classes,Sports Consultant ,9825714390,Bhuj,Bhuj,"Professional Sports Guidance, Coaching & Training, Tournament/Event Organization, Refereeing, and Various Sports Services Available.",,,,,
,,Cold Storage,AADARSH PAN & COLD DRINKS,090336 75825,Bhuj,"01, Nr Hospital, opp. Bank Of Baroda, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJD3qaudrhUDkRP6Fi76lVytM,,,,
,,Cold Storage,Mahadev Milk Parlour,082382 28238,Bhuj,"Madhapar - Vardhman Nagar Rd, Danda Bazar, Madhapar, Bhujodi, Bhuj, Gujarat 370020, India",,ChIJ8wOGVUThUDkRBBRv_yQbs8I,,,,
,,Cold Storage,Shivam Coldstorage,090999 44123,Bhuj,"Prime Industrial Estate, 22, behind GIDC, Sardar Nagar, Bhuj, Gujarat 370001, India",,ChIJZ-4MBIjhUDkRnEOBR5ZVtTk,,,,
,,Computer Classes,RIGHT COMPUTER CLASSES,9909875070,Bhuj,"Bhaveshwar Nagar, Punjabhai Tower, road, near Gurudwara, Lal Tekri, Bhuj, Gujarat 370001",,,,,,
,,Computer Classes,NICT Computer Education,9925152784,Bhuj,"200, Shanti Chembers, Station Rd, opp. SBI Bank, Bhuj, Gujarat 370001",,,,,,
,,Computer Classes,Tech Plus Computer Institute,9825372543,Bhuj,"First Floor, Shree Hari Commercial Complex, Office No, 104-105, Vandi Faliya, Bhuj, Gujarat 370001",,,,,,
,,Computer Classes,Rakshak Computer Institute,9426805497,Bhuj,"207, Uplipal Rd, Old Dhatia Falia, Bhuj, Gujarat 370001",,,,,,
,,Computer Laptop Sales,Pioneer Computer Services,9825034580,Bhuj,"Dhatia Falia 3 roads, Nr Farsani Duniya, Anam Ring Rd, Old Dhatia Falia, Bhuj, Gujarat 370001","Computers, Laptops, CCTV, Printers, Accessories","7M3F+28 Bhuj, Gujarat",Yes,,Yes,pioneer.html
,,Computer Laptop Sales,ODHAVRAM ENTERPRISE,9687626681,Bhuj,"Shop No.15,Siddhi Complex,Near Viable Hospital,Opp.Ambe Ma Mandir,Hospital Road Bhuj-Kutch","All Types of Computers,Laptops,Printers,CCTV Cameras,LED TV,Projectors,GEM Market Place Sales and Service",,,,,
,,Computer Laptop Sales,CLICK COMPUTERS,9426142824,Bhuj,,,,,,,
,,Computer Laptop Sales,Jashmin doshi,9227545953,Bhuj,"Shop no . 1 to 5 , Above A-one cold drinks , opp.Dr.k.v.pujara clinic , Anam ring road , Bhuj",Computer hardware and software,,,,,
,,Computer Laptop Sales,Shree System,9979424154,Bhuj,"318, Shah Commercial Center, Station Road","Laptop,Desktop,printer Sales & service",,,,,
,,Computer Laptop Sales,Sky Infosys,9898261300,Bhuj,"Shop No. 66, Katira Complex-B, Opposite Fire Station",Computer Sales and Services,,,,,
,,Computer Laptop Sales,SHREEJI SYSTEM,9825637242,Bhuj,"Shop no2, Satyam tower , near rupali morbia hospital",Sels & service,,,,,
,,Computer Laptop Sales,Liberty Computers,9825230865,Bhuj,4 rajput chatralaya ghanshyam nagar opp ppc club,Computer Laptop Printer Cctv Ups Antivirus Data Recovery Sales & Service,,,,,
,,Computer Laptop Sales,HUSSAIN CYCLEWALA,8866426000,Bhuj,"13,PRINCE PLAZA COMPLEX, OPP MADHAPAR POLICE STATION",GPS SOLUTIONS AND IT SOLUTIONS,,,,,
,,Computer Laptop Sales,JSV INFOCOM,9825255894,Bhuj,"64-A, Bankers Colony,Gate No.2, Opp. Asha Apartment,Nr. Jubilee Circle",Computer Hardware & Software Sales and Service,,,,,
760fd626-34fc-4344-accf-2610b1b761ed,2026-05-16 09:25:27,Computer Laptop Sales,Ujjam Computer ,9824230399,Bhuj,Shop no 4 shanti chamber statation Road Opp SBI Bank,Laptop Desktop Printer Referbish Laptop Desktop ,,,,,
4d891afd-78d9-4620-b394-77606ea83bb6,2026-05-16 09:30:39,Computer Laptop Sales,Universe Computer Crae,7874544755,Bhuj,"25,Asha complex, B/H Dilip auto agency,station road,","Computer,CCTV,Laptop ETC",,,,,
,,Computer Sales & Repair,SHREEJI TECHNOLOGY,9328035740,Bhuj,RTO relocation site bhuj kutch,"Computer laptop onsite and chip level repair technician best price best service call today for your desktop laptop requirement, buy sell exchange upgrade and repair",,,,,
,,Computer Sales & Repair,Hari Tech Solutions,9825034580,Bhuj,"Dhatia Falia 3 roads, Nr Farsani Duniya, Anam Ring Rd, Dharanagar Kodki, Old Dhatia Falia, Bhuj, Gujarat 370001, India","Computer Laptop repairs, Printers, CCTV",ChIJRXVUFPfjUDkRE2kKu4Zv3DQ,Yes,,Yes,haritech.html
,,Computer Sales & Repair,PRINTER WORLD,9974987922,Bhuj,"203 SHAH COMMERCIAL, NEAR PNB BANK , STATION ROAD , BHUJ",PRINTER REPAIR & CARTRIDGE REFFIL AND OLD AND NEW PRINTER SALES,,,,,
,,Computer Sales & Repair,Shree System,9979424154,Bhuj,"318, Shah Commercial Center, Station Road","Laptop, Desktop, printer Repair",,,,,
,,Computer Sales & Repair,SHREEJI SYSTEM,9825637242,Bhuj,"Shop no-2, Satyam tower , near Bhagat laboratory",Desktop & Laptop repair,,,,,
,,Computer Sales & Repair,JSV INFOCOM,9825255894,Bhuj,"64-A, Bankers Colony,Gate No. 2, Opp. Asha Apartment,Nr. Jubilee Circle,",Computer Hardware and software Sales and Service,,,,,
,,Computer Sales & Repair,MOHIT GANATRA,9978299616,Bhuj,,,,,,,
,,Computer Sales & Repair,XLENT SERVICES,9909946618,Bhuj,"Gayatri Complex, Near Bank Of India, Hospital Road, Bhuj",,,,,,
,,Computer Sales & Repair,M. R. Infotech - Computer Shop | Laptop Shop | CCTV Camera Shop | Computer Repairing |,081412 30005,Bhuj,"Shop No. 103, 1st Floor, Parshwnath Complex, opp. Trust Marble, near Lemon gym, Junavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJE9mRdvzhUDkR8RbKrZxjCMY,,,,
,,Computer Sales & Repair,Raj informatics,9825538167,Bhuj,,Computer Laptop repairs,,,,,
,,Computer Sales & Repair,"Shreeji Computer, Bhuj",097278 67077,Bhuj,"Swastik complex, New Station Rd, Dharanagar Kodki, Old Dhatia Falia, Bhuj, Gujarat 370001, India",,ChIJg7mGia_hUDkRqK1OYefycyo,,,,
a16d2411-649a-4cb8-82bc-a988a17c6b00,2026-05-16 09:26:46,Computer Sales & Repair,Ujjam Computer ,9824230389,Bhuj,Shop No 4 Shanti chamber statation Road ,Laptop Desktop Printer sales service ,,,,,
19721b06-e491-4dcc-b178-babb65af23ee,2026-05-16 09:32:20,Computer Sales & Repair,Universe Computer Care,7874544755,Bhuj,"25,asha complex,B/H Dilip auto agency,Station road","CCTV,Laptop,Desktop,UPS & many more IT product service provider",,,,,
301d6af4-3dc7-4fd0-bba9-8f3f9ce547b0,2026-05-28 05:23:49,Computer Sales & Repair,VARDHMAN COMPUTER,9426042580,Bhuj,SHOP NO. 3 HINGLAJ WADI  OPP SANTOSHI MAA TEMPLE  V D HIGH SCHOOL ROAD BHUJ-KACHCHH PIN N 370001,COMPUTER SALES & SERVIES / LAP[TOP REPAIR /PRINTER / CCTV  PRODUCTS ,,,,,
,,Construction Material,BURHANI TIMBERS,094294 26900,Bhuj,"GJ SH 42, Junavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJ12qKTuvhUDkRyJy1ik2qDdY,,,,
,,Construction Material,Dharti Enterprise,077780 30509,Bhuj,"Mundra - Bhuj Rd, Silver City Twp, Bhuj, Gujarat 370040, India",,ChIJn0JPY0wfUTkRx8nR73Ct8gg,,,,
,,Construction Material,MAHAVIR GLASS AND HARDWARE,090994 84845,Bhuj,"Shop No5, Ply Wood, Station Rd, near Shiv Shakti Ply, opp. Arihant Chambers, Dharanagar Kodki, Old Dhatia Falia, Bhuj, Gujarat 370001, India",,ChIJ807t8XPhUDkRLkfEx8yPk74,,,,
,,Construction Material,Tata Structura - Gajanand Steel,098257 30405,Bhuj,"No 134, Mirzapar Road, near Bhagawati Hotel, Kutch, Ghanshyam Nagar, Bhuj, Gujarat 370001, India",,ChIJa1KyISYfUTkR21LML46EgkY,,,,
,,Courier Services,Maruti Courier,9725520028,Bhuj,,,,,,,
,,Courier Services,DTDC,9879499989,Bhuj,"Amit Shopping Mall, Lal Tekri, Bhuj",,ChIJOd0tF_zhUDkRARns60xuJ3Y,,,,
,,Courier Services,Prince Courier Services,097267 99989,Bhuj,"Shop No. 10, Amit Shopping Mall, Hospital Rd, opp. Dr. VH Patel, Lal Tekri, Bhuj, Gujarat 370001, India",,ChIJOd0tF_zhUDkRARns60xuJ3Y,,,,
,,Courier Services,Sahajanand Express International Courier,070962 97972,Mirjapar Part,"Ground Floor, Time Square Empire, 03, Mirjapar Highway, Uma Nagar, Bhuj, Mirjapar Part, Gujarat 370040, India",,ChIJs_s2r-cfUTkR8FxI6pkJB7Q,,,,
,,Courier Services,Shree Maruti Courier Service Pvt. Ltd,02832 223 647,Bhuj,"Plot No, 7, V D High School Rd, near Zummer House, S.T. Colony, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJaX7w-gIeUTkRBeDSrIqX45w,,,,
63e7d1b1-3272-4113-878c-bc28a8666459,2026-05-21 07:44:13,Cyber Cafe,Sunworld Online Services,9913899915,Bhuj,"Opp Dr. Ganatra Hospital, hospital Road, Bhuj",All Kind of Online Services,,,,,
,,Cycle Store,Aone Cycle Service,099257 33658,Bhuj,"Anam Ring Rd, Dharanagar Kodki, Old Dhatia Falia, Bhuj, Gujarat 370001, India",,ChIJNxUsjnThUDkR5xiQsB0UuoI,,,,
,,Cycle Store,"K bicycle , ( best bicycle store in kutch)",088490 22250,Bhuj,"Shop no.1,2, Trust Marble, Main Road, Junavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJLTBAp0PhUDkRbFCVDdioLVw,,,,
,,Dastavej / Document writers,Girish Dubasiya,9879080700,Bhuj,,,,,,,
,,Dastavej / Document writers,Narendra Shivji Thacker,9825234368,Bhuj,"Mahadev Gate, Bh Priya Motors, Bhuj",Land Documents,,,,,
,,Dastavej / Document writers,Punit Computers - Dushyantbhai,9426137133,Bhuj,"Nar Narayan complex, 1 New Station Road, Bh SBI Main Branch, Bhuj",Land Documents,"7M2F+6Q Bhuj, Gujarat",,,,
,,Data Recovery Services,Pioneer Computer Services,9825034580,Bhuj,"Dhatia Falia 3 Ways, Anam Ring Road, Bhuj.",Data Recovery,,Yes,,Yes,
,,Data Recovery Services,J S V Infocomm,9825020393,Bhuj,"Benker's Colony Road, Banker's Colony, Bhuj, Gujarat 370001",,,,,,
,,Decorators,Avsar Decorators,089805 99899,Mirjapar Part,"Shop no 175, Time square apartment, road, Mirjapar, Bhuj, Mirjapar Part, Gujarat 370040, India",,ChIJD8gWRcMfUTkRewzWmWzSSbA,,,,
,,Decorators,Bimal Decoration,9374603032,Bhuj,,,,,,,
,,Decorators,JENNY STUDIO,099980 88354,Bhuj,"RIDDHI SIDDHI HOME, 139 A, Hospital Rd, behind AMBAJI TEMPLE, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJR-FhesjhUDkRfn-ogGPcRpQ,,,,
,,Decorators,Meetraj Event,9825229151,Bhuj,,Decorators,,,,,
,,Decorators,Rajvadi Decoration,7990526953,Madhapar,,"Chab DÃ©cor, Haldi Tray, Jewellary Box, etc",,,,,
,,Dentist,"Advanced Face And Dental Hospital, Dr Hemal Brahmkshatriya, MDS, FAM",094090 40682,Bhuj,"First Floor, Shubham Arcade, Opp G K Hospital 1st Gate, Hospital Rd, Lotus Colony, Bhuj, Gujarat 370001, India",,ChIJaQDoMP3hUDkR-GKzA_UbJfE,,,,
,,Dentist,Tanna Dental Clinic,9429862984,Bhuj,"3, Golden Palace Rd, opp. GEB Colony Road, Jubliee Colony, Vijay Nagar, Bhuj, Gujarat 370001",,,,,,
,,Dentist,Dr Harshit Varma,9825491499,Bhuj,"8, Satya Darshan Tower, Ground Floor, Besides Rajkot Nagrik Sahakari Bank, Hospital Road, Bhuj, Gujarat 370001",,,,,,
,,Dentist,Dr. Kotak's Face & Dental Hospital,9512359513,Bhuj,"Plot no 12/B, Jubilee Road, Opposite G K General Hospital, Lotus Colony, Bhuj, Gujarat 370001",,,,,,
,,Dentist,Dental Care & Implant Centre,9825369060,Bhuj,"NK. Chambers, A1, Hospital Rd, beside Shanti Niketan, Jalaram Society, Vijay Nagar, Bhuj, Gujarat 370001",,,,,,
,,Digital Marketing,Synchronize Soft Tech,9033902082,Mirjapar,"111, Time Square Empire, Mirzapar Highway",Website Design & Development | Digital marketing | Social Media Marketing & Account Management | Graphic Design |,,,,,
,,Digital Marketing,"9 Cross Media - Website Development Company in Bhuj, Kutch | Website Developer | Graphic Designer",090333 72611,Bhuj,"Radha Apartment, Patel Colony, Lal Tekri, Bhuj, Gujarat 370001, India",,ChIJGao-ICWpgyQRSEIIBZ_nrsU,,,,
,,Digital Marketing,Codelyhut Infotech,081604 37992,Bhuj,"Flat No. 208, Parasmani Apartment, New Station Rd, Dharanagar Kodki, Old Dhatia Falia, Bhuj, Gujarat 370001, India",,ChIJO1MbMbnhUDkRuZaRkkDykg0,,,,
,,Digital Marketing,Custom Code,099098 48620,Bhuj,"Vathan Chowk, near M.S.V. High School, Navavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJlTxZF5zhUDkRJfDUVx2q8e8,,,,
,,Digital Marketing,Infinitie Technologies,099746 92496,Mirjapar Part,"Time Square Empire, 237, Nakhatrana Road Highway, Uma Nagar, Bhuj, Mirjapar Part, Gujarat 370040, India",,ChIJnRDgVe_hUDkRrlvCJlWKMSg,,,,
,,Digital Marketing,TEQUE7,097253 20777,Bhuj,"41, Jubilee Colony Rd, near Jubilee Circle, Jubliee Colony, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJ13zi0v7hUDkRzhRA8lakRZw,,,,
,,Dish Antenna Services,Hitesh Aboti,9825758132,Bhuj,,,,,,,
,,Doctors MBBS,Dr Mahesh Akhani,9824212615,Bhuj,,,,,,,
,,Doctors MBBS,Dr. Dilipbhai Verma,,Bhuj,"Near Nagarchakla, Bhuj",,,,,,
,,Doctors MBBS,Dr. V H Hospital,,Bhuj,"Hospital Road, Lal Tekri, Bhuj",,,,,,
,,Doctors MD ( Specialist ),Dr Pankaj Bharadva Neuro and Spine surgeon,7862098804,Bhuj,"Opd-4,Accord Hospital",All type brain and Spine related problems,,,,,
,,Doctors MD ( Specialist ),Dr Dipali Bharadva-Skin Specialist,7990021173,Bhuj,"First floor, Sunrise complex,opposite first gate of GKGH",Dr Dipali'S Divaa Skin clinic,,,,,
,,Doctors MD Kidney Specialist,Dr Harshal Vora - Kutch kidney care,098790 04939,Bhuj,"201, Vijay Nagar Rd, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJEYGMziLhUDkRFYN96h3Sglg,,,,
,,Doctors MD Physician,Dr. Vinit Thacker,9737246939,Bhuj,,,,,,,
,,Doctors MD Physician,Dr Deep Thacker MD,095372 22108,Bhuj,"Sunrise Tower, KUTCH LIFE CARE HOSPITAL, near Yes Bank, Jubliee Colony, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJPf5sPafhUDkRFkKPu6usx4I,,,,
,,Doctors MD Physician,Dr Dilip Vaghela MD physician,090335 65644,Bhuj,"Accord Hospital, Nirmalsinh Vadi, Bhuj, Gujarat 370001, India",,ChIJI-2WnocfUTkRmnOdQm9B8ds,,,,
,,Doctors MD Physician,Dr. Nandini Jobanputra,,Bhuj,"Jobanputra Hospital, University Road, Bhuj",,,,,,
,,Dress Material,Ruchir Collection,9824898653,Bhuj,"""Durga Kunj"" opposite Jain hospital, nagrik society, Bhuj - Kutch",Kachchhi Batik & Block Print Ladies Dress Material,,,,,
,,Driver,Manish Goswami,7016870556,Bhuj,,,,,,,
,,Driver,Yogesh,9423961038,Bhuj,,,,,,,
,,Drum Teacher,,,Bhuj,,,,,,,
,,Electric Stores,Mahesh Electric Store,9825941655,Bhuj,,,,,,,
,,Electric Stores,Dharti Enterprise,077780 30509,Bhuj,"Mundra - Bhuj Rd, Silver City Twp, Bhuj, Gujarat 370040, India",,ChIJn0JPY0wfUTkRx8nR73Ct8gg,,,,
,,Electric Stores,"Foniton - Led Tv, Flourmill Wholesaler in Bhuj",092743 74344,Bhuj,"Odhavdham Apartment, UB-3, Jubilee Cir, opp. Viram Hotel, opposite All India Radio, Banker's Colony, Bhuj, Gujarat 370001, India",,ChIJ6RxSzjgfUTkRJNqosyIovbA,,,,
,,Electric Stores,Gujarat Mobile & Electronics,076987 04659,Bhuj,"Shop No. 8, Divya Complex, Chatthi Bari Ring Road, below Sanjivani Hospital, Old Dhatia Falia, Bhuj, Gujarat 370001, India",,ChIJz-GdgbfhUDkRudOY9B3xoSk,,,,
,,Electric Stores,J S Electric,9099013892,Bhuj,,,,,,,
,,Electric Stores,SADGURU ELECTRICALS,094261 38105,Bhuj,"Shop no.5, Katira Complex, Sanskar Nagar, Bhuj, Gujarat 370001, India",,ChIJe9yXkQ8eUTkRHkzftSMrQmg,,,,
,,Electric Stores,Yana Electric,091045 05900,Bhuj,"Shop No:- 1, Jyoti Chambers, New Station Rd, Dharanagar Kodki, Old Dhatia Falia, Bhuj, Gujarat 370001, India",,ChIJrcet11PhUDkRvsjU97Rw2Y8,,,,
,,Electrician,Adesh Auto electric,099984 16350,Bhuj,"Mirzapar Bypass Rd, opp. Meshasana Steel, Mirjapar, Bhuj, Mirjapar Part, Gujarat 370040, India",,ChIJ297fCB0fUTkReWFEkQvdpUg,,,,
,,Electrician,Amit Electricals,9081599499,Bhuj,,Electrician,,,,,
,,Electrician,Bapa Sitaram Electric,9979354091,Bhuj,,Residential,,,,,
,,Electrician,Bhanu Electric Services,9879326177,Bhuj,,Maintenance,,,,,
,,Electrician,Gadhvibhai,9664683327,Bhuj,,Electrician,,,,,
,,Electrician,General Radio service bhuj,9998240986,Bhuj,,,,,,,
,,Electrician,Harishbhai,9725222469,Bhuj,,Electrician,,,,,
,,Electrician,Kapil Soni,7016324558,Bhuj,,,,,,,
,,Electrician,Lanai electronics &refrigeration,98257 58132,Bhuj,,Electrician,,,,,
,,Electrician,Mayur Electricians,9925185350,Bhuj,,Emergency,,,,,
,,Electrician,Ravi Electricals,9879177111,Bhuj,,Commercial,,,,,
,,Electrician,SADGURU ELECTRICALS,094261 38105,Bhuj,"Shop no.5, Katira Complex, Sanskar Nagar, Bhuj, Gujarat 370001, India",,ChIJe9yXkQ8eUTkRHkzftSMrQmg,,,,
,,Electrician,Sama Electrician,8128527027,Bhuj,,24x7,,,,,
,,Electrician,Shree Kanth electronics technology,075670 25548,Bhuj,"Navavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJZaxUCQDhUDkR1nDgSlAMhwE,,,,
,,Electrician,Sultan Sama,8905209693,Bhuj,,Electrician,,,,,
,,Electrician,Yana Electric,091045 05900,Bhuj,"Shop No:- 1, Jyoti Chambers, New Station Rd, Dharanagar Kodki, Old Dhatia Falia, Bhuj, Gujarat 370001, India",,ChIJrcet11PhUDkRvsjU97Rw2Y8,,,,
,,Electrician,Kapil,99794 61970,Bhuj,Pramukh swami Nagar,,,,,,
,,Electrician,Aarif Sumra,9726798550,Bhuj,Bakali colony kodki road,Electric work,,,,,
,,Electronics Repairing,Khatribhai Mundrawala,9998240986,Bhuj,,,,,,,
,,Electronics Repairing,Manish Soni,9879837978,Bhuj,,,,,,,
,,Electronics Repairing,Omkar Electronics,9429082432,Bhuj,"VEJNATH SERI,NEW MINT ROAD,NAGAR CHAKLA ,CHANDRAMOLI APPARTMENT, Bhuj, Gujarat 370001",,,,,,
,,Embroidery,Hand Embroidery,9265410381,Bhuj,,Hand Embroidary Work,,,,,
,,Estate Agent,Pradip Shah,9925095909,Bhuj,,Real Estate,,Yes,,Yes,
,,Estate Agent,"Shankar Gurnani, Shree Sai Estate, Bhuj",9925485422,Bhuj,,Estate Agent,,,,,
,,Estate Agent,Harikrushna Properties,9408731807,Bhuj,,Estate Agent,,,,,
,,Estate Agent,Jay Jalaram Devlopars,9825229151,Bhuj,,Estate Agent,,,,,
,,Estate Agent,Jubilee Holidays,090333 23809,Bhuj,"58- Wing-B, GF, Katira Commercial Complex, near Zill Medical Agency, RTO Relocation Site, side, Bhuj, Gujarat 370001, India",,ChIJZzevZdkfUTkRX5Og8jLU61Q,,,,
,,Estate Agent,Nar Narayan Tours & Travels,082382 55442,Bhuj,"near, Parishram Building, Mirjapar, Bhuj, Mirjapar Part, Gujarat 370040, India",,ChIJyXqtT1gfUTkRGt9-JuP4HJU,,,,
,,Estate Agent,Real Estate Kutchh,099780 57137,Bhuj,"Dalal Street B/H Khatri Jamat khana, khatri Chowck, Old Dhatia Falia, Bhuj, Gujarat 370001, India",,ChIJ9Xz3zwIeUTkR8h2NCX7achA,,,,
,,Estate Agent,The property Bhuj,098982 44055,Bhuj,"Office No. 212, Second Floor, Kshetrapal Square-II, Collage Road, Bhujio Dungar, Bhuj, Gujarat 370001, India",,ChIJWVznuQEfUTkRGUSuQHMyRyY,,,,
,,Estate Agent,Usha Estate Agency,099090 59900,Bhuj,"6MR9+HV9, Sunrise Tower Rd, Jubliee Colony, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJkbq4reLhUDkROSbNkACEpPM,,,,
,,Estate Agent,Zameer suresh Bhai kotak,9925026366,Bhuj,,Estate Agent,,,,,
,,Estate Agent,Real Estate Kutchh,099780 57137,Bhuj,"Dalal Street B/H Khatri Jamat khana, khatri Chowck, Old Dhatia Falia, Bhuj, Gujarat 370001, India",,ChIJ9Xz3zwIeUTkR8h2NCX7achA,,,,
,,Estate Agent,The property Bhuj,098982 44055,Bhuj,"Office No. 212, Second Floor, Kshetrapal Square-II, Collage Road, Bhujio Dungar, Bhuj, Gujarat 370001, India",,ChIJWVznuQEfUTkRGUSuQHMyRyY,,,,
,,Estate Agent,WRTeam IT Pvt. Ltd.,097979 45459,Bhuj,"Office No 262, Time Square Empire, Mandvi Road, Uma Nagar, Bhuj, Mirjapar Part, Gujarat 370040, India",,ChIJAQAAAFseUTkRba8oFsZnLcQ,,,,
,,Estate Agent,Ghansyam Thacker,9825170826,Bhuj,,,,,,,
,,Estate Agent,Rohit Thacker,9662576870,Bhuj,,,,,,,
,,Estate Agent,Jay Jalaram Devlopars,9825229151,Bhuj,Mahadev Get. New Mint Road.,,,,,,
,,Estate Agent,THAKKAR NIKHIL JAGDISH,9825272251,Bhuj,??? / Bhuj,,,,,,
,,EV ( Electric Vehicle ),Nilkanth Vijay Trading,,Bhuj,,,,,,,
,,EV ( Electric Vehicle ),PURE EV (Subhlabh EV Private Limited),9274148833,Bhuj,"Shop No. 3, JV Square 2, Sanskar Nagar Rd, near LIC Office, Sanskar Nagar, Bhuj, Gujarat 370001",,,,,,
,,EV ( Electric Vehicle ),Ampere EV by Greaves - Rajarshi EV,8071936936,Bhuj,,,,,,,
,,EV ( Electric Vehicle ),BGauss Electric Scooters - Navkar E Bike,9227566774,Bhuj,"Shop No 16, Ground Floor, Mundra - Bhuj Rd, opposite Leva Patel Hospital Road, Nirmalsinh Vadi, Bhuj, Gujarat 370001",,,,,,
,,EV ( Electric Vehicle ),TVS - Fusion Automotive,7667095736,Bhuj,"Shop No 4 To 8, Om Arcade, near Sbi Bank, Sanskar Nagar, Bhuj, Gujarat 370001",,,,,,
,,EV ( Electric Vehicle ),KD GREEN ENERGY,,Bhuj,"shop no 4,5, Bhavani complex, opp. localboard arogyakendra, Junavas, Madhapar, Bhuj, Gujarat 370020",,,,,,
,,Event Planners,HARDIK GOSWAMI,8141446762,Bhuj,"126,1st floor, mid town mall,nr-us pizza,opp.commerce college,college road","Infinity Events is a dynamic event management company specializing in corporate events, government projects, and wedding planning. Established with a vision to deliver memorable and impactful experiences, we handle everything from concept creation to flawless execution. Our team focuses on creativity, professionalism, and attention to detail, ensuring every event is unique and perfectly managed. Whether it’s a large-scale government function, a corporate gathering, or a dream wedding, Infinity Events turns ideas into unforgettable experiences.",,,,,
,,Event Planners,Pearl Events,099798 85297,Bhuj,"Shop No. 117, Time Square Complex, Mirzapar Road, near Prince Lawns, Uma Nagar, Bhuj, Mirjapar Part, Gujarat 370040, India",,ChIJwWLvHv_hUDkRjNO07qi7j3U,,,,
,,Event Planners,Shubham light & Mandap Decoretion,098250 99622,Bhuj,"Kotak Nager Road, Navavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJa9oTmWfhUDkRBt26qdjVwM0,,,,
8cf6471c-7904-4471-b565-785e0e4d77cf,2026-05-18 06:48:08,Event Planners,INFINITY EVENTS,8141446762,Bhuj,"126,1st Floor, Midtown Mall, Opp.Commerce College, College Road - BHUJ 370001","Infinity Events is a premier event management company specializing in creating exceptional and memorable experiences for corporate, government, and social events across Gujarat and India. We offer end-to-end event planning and execution services, ensuring every detail is managed with creativity, professionalism, and precision.  Our expertise includes corporate conferences, product launches, exhibitions, government functions, award ceremonies, weddings, destination weddings, birthday celebrations, and customized theme events. From concept development and venue selection to décor, entertainment, hospitality, logistics, and on-site coordination, our team delivers seamless event experiences tailored to each client’s vision.  At Infinity Events, we believe every event is unique and deserves personalized attention. Our commitment to quality, innovation, and flawless execution has made us a trusted partner for businesses, government organizations, and families looking to celebrate life’s most important moments.  Why Choose Infinity Events? Creative and customized event solutions Professional and experienced team Strong vendor and venue network Transparent pricing and reliable service End-to-end event management Focus on quality, timelines, and client satisfaction  Infinity Events – Turning Ideas into Unforgettable Experiences.",,,,,
,,Fashion Designer,"""NASIR BANDHANI SAREES""",9998277602,Bhuj,,Bandhani,,,,,
,,Fashion Designer,Free Ghanshyam boutique Pro. Atul Thakkar,9726307479,Bhuj,,Fashion Designer,,,,,
,,Fashion Designer,Hands of Kutch | Sustainable Fashion Studio,087806 61518,Bhuj,"5, First Floor, Limdiwala Terrace, nr. Anando Restaurant, Ghanshyam Nagar, Bhuj, Gujarat 370001, India",,ChIJaz3XcAMeUTkRLrfNbYMhaZ4,,,,
,,Fashion Designer,Nitin K . Modh,9374335897,Bhuj,,Fashion Designer,,,,,
,,Fashion Designer,Sangita fashion,091067 62430,Bhuj,"Anam Ring Rd, opp. Dr k.v pujara clinic, Dharanagar Kodki, Old Dhatia Falia, Bhuj, Gujarat 370001, India",,ChIJ88xSm5LhUDkRYuOKaFd1z3E,,,,
,,Fashion Designer,SHARDA INTERIOR STUDIO,097242 49875,Bhuj,"OFFICE NO : 4, DEV ARCADE, near Gaytri Mandir Road, Junavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJa5fjBwnhUDkRvqfctYpTFLw,,,,
